valid_import,item,importer_id,exporter_id,country_of_origin,declared_quantity,declared_cost,mode_of_transport,route,date_of_departure,date_of_arrival,declared_weight,actual_weight,days_in_transit
true,cigar,111,222,USA,107,8123.431565477235,sea,asia,04/29/2019,05/20/2019,1203.2748200650317,1212.7752082634245,20.90878327968751
true,cigar,111,222,USA,134,9981.379278652004,sea,america,05/07/2019,06/06/2019,695.6810859016067,730.1203926543775,30.39962694320961
true,cigar,111,222,USA,103,5183.026340504681,sea,europe,05/12/2019,05/24/2019,864.1368065963812,880.5245098356949,12.423684040984453
true,cigar,111,222,USA,110,7118.698855428382,sea,panama,04/21/2019,05/11/2019,680.763784437498,701.4931311271944,19.946737595590758
true,cigar,111,222,France,101,9473.374918809614,sea,asia,05/05/2019,05/22/2019,1178.0084159504136,1198.561053985302,16.74523717292087
true,cigar,111,222,France,132,13142.645017279006,sea,america,05/07/2019,06/08/2019,1438.2522790266692,1495.968363807854,31.61704964000551
true,cigar,111,222,France,139,12010.431439038497,sea,europe,04/24/2019,05/12/2019,1248.3495468342496,1303.7251711766219,18.203927306064152
true,cigar,111,222,France,146,14281.325361521347,sea,panama,05/05/2019,05/21/2019,759.6323610370569,779.1161758241839,16.468841585354067
true,cigar,111,222,Italy,139,13561.249071706086,sea,asia,04/26/2019,05/18/2019,1378.217354230545,1398.9458542238194,22.102197009370876
true,cigar,111,222,Italy,147,10922.596117466523,sea,america,05/02/2019,06/03/2019,1842.576805263871,1874.3896778324447,32.01084260247616
true,cigar,111,222,Italy,146,10676.110724235903,sea,europe,05/14/2019,05/27/2019,1178.305247640407,1203.7267628572652,13.371144800953635
true,cigar,111,222,Italy,121,11647.802803527935,sea,panama,04/21/2019,05/06/2019,738.6697262158322,774.51491824844,15.268433455337085
true,cigar,111,222,India,147,5187.754244867619,sea,asia,05/14/2019,06/03/2019,1179.7317495206503,1220.8990056033301,19.668653231685646
true,cigar,111,222,India,106,3839.97313233264,sea,america,04/18/2019,05/23/2019,1556.2365186495585,1605.1530772090625,34.64641775019199
true,cigar,111,222,India,137,4133.298583780868,sea,europe,04/26/2019,05/14/2019,710.4013887641589,731.9107011716909,17.525595048440053
true,cigar,111,222,India,142,5436.657759889632,sea,panama,05/07/2019,05/25/2019,729.4916652553175,763.1814378542821,17.6663704798525
true,cigar,111,222,China,117,5791.744729895995,sea,asia,04/28/2019,05/21/2019,1507.2787592035475,1521.0718319670264,22.6427956515855
true,cigar,111,222,China,141,5969.281340386012,sea,america,05/13/2019,06/13/2019,846.9621804905825,863.8488657423902,31.401555517475934
true,cigar,111,222,China,129,4134.678409908434,sea,europe,05/05/2019,05/23/2019,798.188071993361,801.5589572823935,17.727373096993936
true,cigar,111,222,China,119,5983.248458535113,sea,panama,05/09/2019,05/24/2019,1487.1050456344942,1555.946156091879,15.190043014425536
true,cigar,111,222,USA,132,9324.214407054973,sea,asia,05/14/2019,05/31/2019,1725.129320030435,1758.836186975673,17.109930271802327
true,cigar,111,222,USA,123,7312.247929836104,sea,america,05/05/2019,06/08/2019,992.158130258226,1024.6990025389023,33.50361339091164
true,cigar,111,222,USA,100,7427.845888911896,sea,europe,05/01/2019,05/17/2019,1236.7332549403463,1269.2766123288095,16.070705690786017
true,cigar,111,222,USA,116,4278.6060218876155,sea,panama,04/28/2019,05/21/2019,995.2465030332853,1041.2224026954111,22.79567933911563
true,cigar,111,222,France,130,12249.150031880336,sea,asia,05/07/2019,05/26/2019,1262.845938542815,1307.7076662489137,18.8353621152562
true,cigar,111,222,France,123,10071.423704553374,sea,america,05/15/2019,06/13/2019,813.8463646428332,822.2346935420115,28.940610564797044
true,cigar,111,222,France,103,5629.0872563655685,sea,europe,04/20/2019,05/07/2019,526.5309383364817,537.2257902148554,16.9896434442657
true,cigar,111,222,France,107,6626.534567143968,sea,panama,05/07/2019,05/26/2019,941.8773732076592,962.5254608784846,19.32690406752735
true,cigar,111,222,Italy,149,6983.730447472702,sea,asia,05/03/2019,05/24/2019,2018.0481580770709,2086.3812055272483,20.738636716800357
true,cigar,111,222,Italy,131,11451.473002221064,sea,america,04/21/2019,05/17/2019,1661.122591310437,1691.449485079957,26.136349608690114
true,cigar,111,222,Italy,120,10192.337246597308,sea,europe,05/03/2019,05/21/2019,1155.2269194067903,1183.040594275224,18.250000624363384
true,cigar,111,222,Italy,100,8719.312620761684,sea,panama,05/03/2019,05/26/2019,983.3010615719303,990.6100063741005,22.558078690526543
false,cigar,111,222,India,106,3504.484999237423,sea,asia,04/29/2019,06/02/2019,1729.8020499565255,1803.4721533497036,34.235811289451746
false,cigar,111,222,India,131,1594.0742248715726,sea,america,05/08/2019,09/01/2019,1489.5540245552395,1551.1617008914716,116.14091103041676
false,cigar,111,222,India,123,3016.617610500659,sea,europe,05/04/2019,06/06/2019,1024.487613238683,1055.4598114959724,32.790351872051374
false,cigar,111,222,India,112,3528.9789241309127,sea,panama,04/26/2019,05/13/2019,1494.4641754738857,1556.4160197759634,16.84868179839537
false,cigar,111,222,China,146,5536.406954488881,sea,asia,04/29/2019,06/05/2019,2146.8679630494967,2244.9319669283104,37.43621566777452
false,cigar,111,222,China,145,2954.91855052884,sea,america,04/30/2019,06/27/2019,2442.552819342194,2547.6048975354565,57.867219653754375
false,cigar,111,222,China,100,2762.784167476319,sea,europe,05/02/2019,05/24/2019,547.4214962427226,571.4337246850582,22.10148191906454
false,cigar,111,222,China,118,4853.210135245886,sea,panama,04/25/2019,06/17/2019,1837.9018761325704,1909.1122181350388,52.78833409845971
false,cigar,111,222,USA,138,5978.084541846925,sea,asia,04/19/2019,05/22/2019,2450.6387832389646,2550.652883809538,32.914771230155104
false,cigar,111,222,USA,140,10118.224044664896,sea,america,05/03/2019,08/04/2019,2406.8271808571717,2503.169042643349,93.25022598889254
false,cigar,111,222,USA,135,5088.423120714087,sea,europe,05/13/2019,06/25/2019,2168.098783578071,2243.5940666426873,43.18102954893168
false,cigar,111,222,USA,120,4950.884535227093,sea,panama,04/27/2019,05/14/2019,1334.6674924221131,1392.5245889975163,17.374213039131618
false,cigar,111,222,France,125,6033.737875051438,sea,asia,04/30/2019,06/15/2019,640.69121266578,668.4604434819648,46.12410122146025
false,cigar,111,222,France,110,8953.524710939555,sea,america,05/16/2019,09/13/2019,193.13042903487806,200.96671021189064,120.40624596492275
false,cigar,111,222,France,135,12820.995855311598,sea,europe,05/15/2019,06/01/2019,649.7108116165571,672.2214776445114,16.821481629070966
false,cigar,111,222,France,127,6486.895679940477,sea,panama,05/14/2019,06/01/2019,2314.643526040995,2429.130349507876,17.70143396919981
false,cigar,111,222,Italy,100,4457.599534446819,sea,asia,05/05/2019,05/21/2019,262.628128427112,274.70806162552566,15.74244266627965
false,cigar,111,222,Italy,110,5515.420012430868,sea,america,04/30/2019,06/15/2019,154.37863059827268,161.0078784718152,46.05988579603486
false,cigar,111,222,Italy,138,10116.808405853631,sea,europe,05/12/2019,05/25/2019,1139.895913151185,1181.5408045046781,13.428678740027346
false,cigar,111,222,Italy,104,9745.816464729538,sea,panama,05/04/2019,07/06/2019,1417.6171905534814,1470.1255875810268,62.87606852167329
false,cigar,111,222,India,135,4066.301077830093,sea,asia,05/02/2019,06/23/2019,1891.4067385286778,1953.5143221563337,51.90439323200133
false,cigar,111,222,India,134,3326.9736719030593,sea,america,05/12/2019,10/07/2019,280.9846195699141,289.69433892156025,147.78756002163323
false,cigar,111,222,India,149,4486.757182130598,sea,europe,04/29/2019,06/13/2019,2071.946233111148,2168.8334669639603,44.575414472413556
false,cigar,111,222,India,119,3804.9549498428382,sea,panama,04/26/2019,06/30/2019,1281.133257026046,1337.7264307112828,65.23244128233692
false,cigar,111,222,China,102,2232.8483224680595,sea,asia,05/01/2019,05/26/2019,896.4077665364026,934.9624122306885,24.65361409334448
false,cigar,111,222,China,113,5745.640896114904,sea,america,04/22/2019,08/28/2019,627.9419855500437,655.845304368601,128.41671240699483
false,cigar,111,222,China,140,7047.036297831148,sea,europe,05/13/2019,06/24/2019,1474.383732586599,1521.771340101337,41.68097393536151
false,cigar,111,222,China,104,5687.371095379803,sea,panama,04/26/2019,06/20/2019,18.459509298673836,19.27524117212989,55.25029197655434
false,cigar,111,222,USA,140,6189.073792421086,sea,asia,05/10/2019,05/31/2019,2586.146072825512,2667.424304802115,21.405147658476988
false,cigar,111,222,USA,137,8864.952255717713,sea,america,05/14/2019,06/10/2019,2004.5324266903651,2067.3304958652257,26.50660754448229
false,cigar,111,222,USA,132,6166.578497773796,sea,europe,05/09/2019,06/19/2019,1721.1180257791411,1778.2157708346724,40.54705686158338
false,cigar,111,222,USA,121,8403.921056406258,sea,panama,05/16/2019,06/16/2019,2336.5837615466553,2433.9779895466313,30.56802592975615
false,cigar,111,222,France,114,7937.286382075391,sea,asia,05/12/2019,07/06/2019,131.5147613364315,137.68370165526395,55.37174222618502
false,cigar,111,222,France,114,6709.3865244564395,sea,america,04/18/2019,07/05/2019,1932.536646037961,1994.7224476935044,77.7372870495081
false,cigar,111,222,France,149,6697.652963144585,sea,europe,05/08/2019,06/23/2019,154.23207223810147,159.96974534903197,46.39321569170748
false,cigar,111,222,France,136,7784.078437232616,sea,panama,04/23/2019,05/27/2019,944.7004040030405,987.4765141419998,33.872066603608786
false,cigar,111,222,Italy,139,11118.662308328789,sea,asia,05/02/2019,06/10/2019,2612.5637205483263,2737.5760549353604,39.03859050904009
false,cigar,111,222,Italy,144,10849.145862805139,sea,america,05/09/2019,09/09/2019,291.849891156408,303.32867313578356,123.27784624621533
false,cigar,111,222,Italy,124,6510.175846967449,sea,europe,05/05/2019,06/22/2019,1097.0410553466236,1131.3872188039047,47.75762162370751
false,cigar,111,222,Italy,129,9338.398434301213,sea,panama,05/10/2019,06/09/2019,1418.3016537111625,1486.3916530748884,29.58972407010181
false,cigar,111,222,India,138,1906.499236910033,sea,asia,05/01/2019,05/16/2019,1708.0460514085426,1788.5632870599925,15.191678354673801
false,cigar,111,222,India,144,4452.496638495039,sea,america,05/11/2019,06/17/2019,822.4704123967609,848.9172867856856,36.72707885862989
false,cigar,111,222,India,140,2038.2543860466624,sea,europe,05/14/2019,06/21/2019,1054.4861832627264,1101.2743474621157,37.79205780174698
false,cigar,111,222,India,135,1441.012419437322,sea,panama,05/04/2019,06/18/2019,398.31881282602274,414.0802159958692,45.385244195522915
false,cigar,111,222,China,135,5578.736869608086,sea,asia,05/16/2019,07/10/2019,1930.8819825068338,2025.919363786834,54.801192810493596
false,cigar,111,222,China,139,4174.018264966497,sea,america,05/12/2019,09/25/2019,231.5837579610913,243.04727644301497,135.62756119424145
false,cigar,111,222,China,106,5683.875722187766,sea,europe,05/13/2019,06/15/2019,1100.9635154600105,1152.5817779541387,32.682246408368414
false,cigar,111,222,China,147,4922.796113123081,sea,panama,04/30/2019,05/19/2019,1415.3252046789255,1462.695545097532,18.885347499682062
false,cigar,111,222,USA,108,4745.492192492318,sea,asia,04/20/2019,05/24/2019,994.4308728386463,1030.5914630987324,33.97968627502221
false,cigar,111,222,USA,108,3643.918382140038,sea,america,05/17/2019,07/12/2019,96.28488836589457,100.65368496748363,56.14369677665351
false,cigar,111,222,USA,115,4799.781588484152,sea,europe,05/17/2019,06/01/2019,508.9064159197849,527.1564806056292,15.306653686283052
false,cigar,111,222,USA,113,8099.988223438152,sea,panama,05/11/2019,06/24/2019,1446.1836813302516,1495.775433939754,44.28336008269112
false,cigar,111,222,France,145,10686.569440244448,sea,asia,05/01/2019,07/03/2019,2806.3389552811987,2918.6816829437307,63.314997722348735
false,cigar,111,222,France,133,10125.691527318879,sea,america,05/13/2019,06/28/2019,632.7669749027418,661.3970576430881,46.3210482368252
false,cigar,111,222,France,127,5573.400297652898,sea,europe,04/25/2019,06/13/2019,2179.0111782659956,2250.567947382554,49.35059676232774
false,cigar,111,222,France,120,8717.04078494795,sea,panama,04/22/2019,06/25/2019,1757.3220081388292,1827.472779919282,63.817342660912836
false,cigar,111,222,Italy,129,11646.434427301032,sea,asia,05/09/2019,07/10/2019,475.6549030377473,490.5621989965716,61.979928346026114
false,cigar,111,222,Italy,123,5162.694293689747,sea,america,04/24/2019,06/14/2019,130.26296380790274,136.16100327667277,50.582026832976254
false,cigar,111,222,Italy,103,5726.18318935276,sea,europe,04/23/2019,06/07/2019,61.57245856971012,63.708666096369186,44.787805503885465
false,cigar,111,222,Italy,136,10163.213787253853,sea,panama,05/16/2019,06/05/2019,920.7433971316628,955.9796343260451,19.814923571260728
