instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
,2011-01-03,1.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.3881,0.0,1.0,1.0
51.0,2011-01-03,1.0,0.0,1.0,5.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.47,0.2836,0.0,,3.0
52.0,2011-01-03,1.0,0.0,,6.0,0.0,1.0,,1.0,,0.1061,0.5,0.3881,0.0,30.0,30.0
53.0,2011-01-03,1.0,,1.0,7.0,0.0,1.0,1.0,1.0,0.14,0.1364,,0.19399999999999998,1.0,63.0,64.0
54.0,2011-01-03,1.0,0.0,1.0,,0.0,1.0,1.0,1.0,0.14,0.1212,0.5,0.2836,1.0,153.0,154.0
55.0,2011-01-03,1.0,0.0,1.0,9.0,0.0,1.0,1.0,1.0,0.16,0.1364,0.43,0.3881,7.0,81.0,88.0
56.0,2011-01-03,1.0,,1.0,10.0,0.0,1.0,1.0,1.0,0.18,0.1667,0.43,0.2537,11.0,33.0,44.0
57.0,2011-01-03,1.0,0.0,1.0,11.0,0.0,1.0,1.0,,,0.1818,0.4,,,41.0,51.0
58.0,2011-01-03,1.0,0.0,1.0,12.0,0.0,1.0,1.0,,0.22,0.2121,0.35,0.2985,13.0,48.0,61.0
59.0,2011-01-03,1.0,0.0,1.0,13.0,0.0,1.0,1.0,1.0,0.24,0.2121,0.35,0.2836,8.0,,61.0
60.0,2011-01-03,1.0,,1.0,14.0,0.0,1.0,1.0,1.0,,0.2424,0.3,0.2836,11.0,66.0,77.0
61.0,2011-01-03,1.0,0.0,1.0,15.0,0.0,1.0,,1.0,0.26,0.2424,,0.2537,14.0,58.0,
62.0,2011-01-03,1.0,0.0,1.0,16.0,0.0,1.0,1.0,,0.26,0.2424,0.3,0.2537,9.0,67.0,76.0
63.0,2011-01-03,1.0,0.0,1.0,17.0,0.0,1.0,1.0,1.0,0.24,,0.3,0.2239,11.0,146.0,157.0
64.0,2011-01-03,1.0,0.0,1.0,18.0,0.0,1.0,1.0,1.0,0.24,0.2576,,0.1045,9.0,148.0,
65.0,2011-01-03,1.0,0.0,,19.0,0.0,1.0,1.0,1.0,0.2,0.2576,,0.0,8.0,102.0,110.0
66.0,2011-01-03,1.0,0.0,1.0,20.0,0.0,1.0,1.0,1.0,0.2,0.2273,,,3.0,49.0,
67.0,2011-01-03,1.0,0.0,1.0,21.0,0.0,1.0,1.0,1.0,,0.19699999999999998,0.64,0.1343,3.0,49.0,52.0
68.0,2011-01-03,1.0,0.0,1.0,22.0,0.0,1.0,1.0,1.0,0.14,0.1515,0.69,0.1343,0.0,20.0,20.0
69.0,2011-01-03,1.0,0.0,1.0,23.0,0.0,1.0,1.0,1.0,0.18,0.2121,0.55,0.1045,1.0,11.0,12.0
,2011-01-04,,0.0,1.0,0.0,0.0,2.0,,,0.16,0.1818,0.55,0.1045,0.0,5.0,5.0
71.0,2011-01-04,1.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.16,0.1818,0.59,0.1045,0.0,2.0,2.0
,2011-01-04,,0.0,1.0,2.0,0.0,,1.0,1.0,0.14,0.1515,0.63,0.1343,0.0,1.0,1.0
73.0,,1.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,,0.1818,,0.0896,0.0,2.0,2.0
,2011-01-04,1.0,0.0,1.0,5.0,0.0,2.0,,1.0,0.12,,0.68,0.1045,0.0,4.0,4.0
75.0,2011-01-04,1.0,0.0,1.0,6.0,0.0,2.0,1.0,1.0,0.12,0.1515,0.74,0.1045,,36.0,36.0
,2011-01-04,1.0,0.0,1.0,7.0,0.0,2.0,1.0,1.0,0.12,0.1515,0.74,0.1343,2.0,92.0,94.0
,2011-01-04,1.0,0.0,1.0,8.0,0.0,2.0,1.0,1.0,,0.1515,0.69,0.1642,2.0,177.0,179.0
78.0,2011-01-04,1.0,0.0,1.0,9.0,0.0,2.0,1.0,1.0,0.16,0.1515,0.64,,2.0,98.0,100.0
79.0,2011-01-04,1.0,0.0,1.0,10.0,0.0,2.0,1.0,2.0,0.16,0.1364,0.69,0.3284,5.0,37.0,
80.0,2011-01-04,,0.0,1.0,11.0,0.0,2.0,1.0,1.0,0.22,0.2121,0.51,0.2985,7.0,50.0,57.0
81.0,2011-01-04,1.0,0.0,1.0,12.0,0.0,2.0,,1.0,0.22,0.2273,0.51,0.1642,12.0,,78.0
82.0,2011-01-04,1.0,0.0,1.0,13.0,0.0,2.0,1.0,,0.24,0.2273,0.56,0.19399999999999998,18.0,79.0,97.0
83.0,2011-01-04,1.0,0.0,1.0,14.0,0.0,2.0,,1.0,0.26,,0.52,0.2239,9.0,54.0,63.0
84.0,2011-01-04,1.0,0.0,1.0,15.0,0.0,2.0,1.0,1.0,0.28,0.2727,0.52,0.2537,17.0,48.0,65.0
85.0,2011-01-04,1.0,0.0,1.0,16.0,0.0,2.0,1.0,1.0,0.3,0.2879,0.49,0.2537,15.0,68.0,83.0
86.0,2011-01-04,1.0,0.0,1.0,17.0,0.0,2.0,1.0,,0.28,0.2727,,0.2239,10.0,202.0,212.0
87.0,2011-01-04,1.0,0.0,1.0,18.0,0.0,2.0,1.0,1.0,0.26,0.2576,0.48,0.19399999999999998,3.0,179.0,182.0
88.0,2011-01-04,1.0,0.0,1.0,19.0,0.0,2.0,1.0,1.0,0.24,,0.48,0.1045,2.0,110.0,112.0
89.0,2011-01-04,1.0,0.0,1.0,20.0,0.0,2.0,1.0,1.0,,0.2576,0.48,0.1045,,53.0,54.0
,2011-01-04,1.0,0.0,1.0,21.0,0.0,,1.0,1.0,0.22,0.2727,0.64,0.0,0.0,48.0,48.0
91.0,,1.0,0.0,,22.0,0.0,2.0,1.0,1.0,0.22,0.2576,0.64,0.0896,1.0,34.0,
92.0,2011-01-04,1.0,0.0,1.0,23.0,0.0,2.0,1.0,,0.2,0.2273,0.69,,2.0,9.0,
93.0,2011-01-05,1.0,0.0,,,0.0,3.0,1.0,1.0,0.2,0.2576,0.64,0.0,0.0,6.0,6.0
,2011-01-05,1.0,0.0,1.0,1.0,0.0,3.0,1.0,1.0,0.16,0.19699999999999998,0.74,0.0896,0.0,6.0,6.0
95.0,2011-01-05,1.0,0.0,1.0,2.0,0.0,3.0,1.0,1.0,0.16,0.19699999999999998,0.74,0.0896,0.0,,2.0
96.0,2011-01-05,1.0,,1.0,4.0,0.0,3.0,1.0,1.0,0.24,0.2273,0.48,0.2239,0.0,2.0,2.0
,2011-01-05,1.0,0.0,1.0,5.0,0.0,3.0,1.0,1.0,0.22,0.2273,0.47,0.1642,0.0,3.0,3.0
98.0,2011-01-05,1.0,0.0,1.0,6.0,0.0,3.0,1.0,1.0,0.2,0.19699999999999998,0.47,0.2239,,33.0,33.0
99.0,,1.0,0.0,1.0,7.0,0.0,3.0,1.0,1.0,0.18,0.1818,0.43,0.19399999999999998,,87.0,88.0
100.0,2011-01-05,1.0,0.0,1.0,8.0,,3.0,1.0,1.0,0.2,0.1818,0.4,,3.0,,195.0
101.0,2011-01-05,1.0,0.0,1.0,,,3.0,,1.0,0.22,0.19699999999999998,0.37,0.3284,6.0,109.0,115.0
102.0,2011-01-05,,,1.0,10.0,0.0,3.0,1.0,1.0,0.22,0.19699999999999998,0.37,0.3284,4.0,53.0,57.0
103.0,2011-01-05,1.0,0.0,1.0,11.0,0.0,3.0,1.0,1.0,0.26,0.2273,0.33,0.3284,12.0,34.0,46.0
104.0,2011-01-05,1.0,,1.0,,0.0,3.0,,,0.26,0.2273,0.33,0.3284,5.0,74.0,79.0
105.0,2011-01-05,1.0,0.0,1.0,13.0,0.0,3.0,1.0,1.0,,0.2576,0.3,0.2985,6.0,,71.0
,2011-01-05,1.0,,1.0,14.0,0.0,3.0,1.0,,0.3,0.2879,0.28,0.19399999999999998,10.0,52.0,62.0
107.0,,,0.0,,15.0,0.0,3.0,1.0,1.0,0.3,0.2879,0.28,0.19399999999999998,7.0,55.0,62.0
108.0,,1.0,0.0,1.0,16.0,0.0,3.0,1.0,1.0,0.3,,0.28,0.0896,4.0,85.0,89.0
109.0,2011-01-05,1.0,0.0,1.0,17.0,0.0,3.0,1.0,1.0,0.24,0.2273,0.38,0.19399999999999998,4.0,186.0,190.0
110.0,2011-01-05,1.0,0.0,1.0,,0.0,3.0,1.0,1.0,,0.2424,0.38,,3.0,166.0,169.0
111.0,2011-01-05,1.0,0.0,1.0,19.0,0.0,3.0,1.0,1.0,0.24,0.2576,0.38,0.1045,5.0,127.0,132.0
112.0,2011-01-05,1.0,0.0,1.0,,,3.0,1.0,1.0,0.22,0.2273,,0.1642,7.0,82.0,
113.0,2011-01-05,1.0,0.0,1.0,21.0,,3.0,1.0,1.0,0.2,0.19699999999999998,0.51,0.19399999999999998,3.0,40.0,43.0
,2011-01-05,1.0,0.0,1.0,22.0,0.0,3.0,1.0,1.0,0.18,0.19699999999999998,0.55,0.1343,1.0,41.0,42.0
115.0,2011-01-05,1.0,0.0,1.0,23.0,,3.0,1.0,1.0,0.2,0.2576,0.47,0.0,1.0,18.0,19.0
116.0,,1.0,0.0,1.0,0.0,0.0,4.0,,1.0,0.18,0.2424,0.55,0.0,0.0,11.0,11.0
,2011-01-06,1.0,0.0,1.0,1.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.64,0.0,,4.0,4.0
118.0,2011-01-06,1.0,0.0,1.0,2.0,0.0,4.0,1.0,1.0,0.16,0.2273,0.64,0.0,0.0,2.0,2.0
,2011-01-06,1.0,0.0,1.0,4.0,0.0,4.0,1.0,2.0,0.16,0.19699999999999998,0.64,0.0896,,1.0,1.0
120.0,2011-01-06,,0.0,1.0,5.0,0.0,4.0,1.0,2.0,0.14,0.1818,0.69,0.0896,0.0,4.0,4.0
121.0,2011-01-06,1.0,0.0,1.0,6.0,0.0,4.0,1.0,2.0,0.14,0.1667,0.63,0.1045,0.0,36.0,36.0
122.0,2011-01-06,1.0,0.0,1.0,7.0,0.0,4.0,1.0,2.0,0.16,0.2273,0.59,0.0,0.0,95.0,95.0
123.0,2011-01-06,1.0,0.0,,8.0,0.0,4.0,,1.0,0.16,0.2273,0.59,,3.0,216.0,219.0
124.0,2011-01-06,1.0,0.0,1.0,9.0,0.0,4.0,1.0,2.0,,0.2424,0.51,0.0,6.0,116.0,122.0
125.0,2011-01-06,1.0,0.0,1.0,10.0,0.0,4.0,1.0,1.0,0.2,0.2576,0.47,0.0,3.0,42.0,45.0
126.0,2011-01-06,1.0,0.0,1.0,11.0,0.0,4.0,1.0,1.0,0.22,0.2576,0.44,0.0896,,57.0,59.0
127.0,2011-01-06,1.0,0.0,,12.0,0.0,4.0,1.0,1.0,0.26,0.2879,0.35,0.0,6.0,78.0,84.0
128.0,2011-01-06,1.0,0.0,1.0,13.0,0.0,,1.0,1.0,0.26,0.2727,0.35,0.1045,12.0,,67.0
,2011-01-06,1.0,0.0,1.0,14.0,0.0,4.0,1.0,1.0,0.28,0.2727,0.36,0.1642,11.0,59.0,70.0
130.0,2011-01-06,1.0,0.0,1.0,15.0,0.0,4.0,1.0,1.0,,0.2727,0.36,0.0,8.0,54.0,
131.0,2011-01-06,1.0,0.0,1.0,16.0,0.0,4.0,1.0,1.0,0.26,0.2576,0.38,,12.0,74.0,86.0
132.0,2011-01-06,1.0,0.0,1.0,17.0,0.0,4.0,1.0,1.0,0.22,0.2273,0.51,0.1642,9.0,163.0,172.0
133.0,2011-01-06,,0.0,1.0,18.0,0.0,4.0,1.0,1.0,0.22,0.2273,0.51,0.1343,5.0,158.0,163.0
134.0,2011-01-06,1.0,0.0,1.0,19.0,0.0,4.0,1.0,1.0,0.22,0.2576,0.55,,3.0,109.0,112.0
135.0,2011-01-06,1.0,0.0,,20.0,0.0,4.0,1.0,1.0,0.2,,0.51,0.1642,3.0,66.0,69.0
136.0,2011-01-06,1.0,0.0,1.0,21.0,0.0,4.0,1.0,2.0,0.22,,0.55,0.2239,0.0,48.0,48.0
,2011-01-06,1.0,0.0,,22.0,0.0,4.0,1.0,2.0,0.22,0.2121,0.51,0.2836,1.0,51.0,52.0
,2011-01-06,1.0,0.0,1.0,,0.0,4.0,1.0,,,0.19699999999999998,0.59,0.19399999999999998,,19.0,23.0
139.0,2011-01-07,1.0,0.0,1.0,0.0,0.0,5.0,,2.0,0.2,0.19699999999999998,0.64,0.19399999999999998,4.0,13.0,17.0
140.0,2011-01-07,1.0,0.0,1.0,,0.0,5.0,1.0,,0.2,0.19699999999999998,0.69,0.2239,2.0,5.0,7.0
141.0,2011-01-07,1.0,0.0,1.0,,,,1.0,2.0,0.2,0.19699999999999998,0.69,0.2239,0.0,,1.0
142.0,2011-01-07,1.0,0.0,1.0,4.0,0.0,5.0,,,0.2,0.2121,0.69,0.1343,0.0,1.0,1.0
143.0,2011-01-07,1.0,,1.0,5.0,0.0,5.0,1.0,3.0,0.22,0.2727,0.55,0.0,0.0,,5.0
144.0,2011-01-07,1.0,,1.0,6.0,,5.0,1.0,,0.2,0.2576,0.69,0.0,8.0,,34.0
145.0,,1.0,,1.0,,0.0,5.0,1.0,1.0,0.2,0.2121,0.69,0.1343,8.0,,84.0
146.0,2011-01-07,1.0,0.0,1.0,8.0,0.0,5.0,1.0,1.0,0.2,0.19699999999999998,0.51,0.2537,20.0,190.0,210.0
147.0,2011-01-07,1.0,0.0,1.0,9.0,,,1.0,1.0,0.2,0.1818,0.47,0.2985,9.0,125.0,134.0
148.0,2011-01-07,,0.0,1.0,10.0,0.0,5.0,1.0,1.0,0.22,0.19699999999999998,0.37,0.3284,16.0,47.0,63.0
149.0,2011-01-07,1.0,0.0,1.0,11.0,0.0,,1.0,2.0,,0.19699999999999998,0.4,0.2239,,48.0,67.0
150.0,2011-01-07,1.0,0.0,1.0,12.0,0.0,,1.0,2.0,0.2,0.19699999999999998,0.37,0.2537,9.0,50.0,59.0
151.0,2011-01-07,1.0,0.0,1.0,13.0,0.0,5.0,1.0,2.0,0.2,0.1818,0.37,0.2836,9.0,64.0,73.0
152.0,,,0.0,,14.0,0.0,5.0,1.0,2.0,0.2,0.19699999999999998,0.4,,7.0,43.0,50.0
153.0,2011-01-07,1.0,0.0,1.0,15.0,,5.0,1.0,2.0,0.2,0.2121,0.37,0.1642,9.0,,72.0
154.0,2011-01-07,1.0,0.0,1.0,16.0,0.0,5.0,1.0,2.0,0.2,0.2121,,0.1642,5.0,82.0,87.0
155.0,,1.0,0.0,1.0,17.0,0.0,5.0,1.0,2.0,0.2,0.2576,0.37,0.0,9.0,178.0,187.0
156.0,2011-01-07,1.0,,1.0,,0.0,5.0,1.0,,0.2,0.2273,0.4,0.0896,7.0,116.0,123.0
157.0,2011-01-07,,0.0,1.0,19.0,,5.0,1.0,1.0,0.16,0.19699999999999998,0.55,0.0896,3.0,92.0,95.0
158.0,2011-01-07,1.0,0.0,1.0,20.0,0.0,5.0,1.0,1.0,0.18,0.2121,0.47,0.1045,1.0,50.0,
159.0,2011-01-07,1.0,0.0,1.0,21.0,0.0,5.0,,1.0,0.18,0.19699999999999998,0.47,0.1343,0.0,39.0,39.0
160.0,2011-01-07,1.0,0.0,1.0,22.0,0.0,5.0,,2.0,0.18,0.19699999999999998,,0.1642,2.0,34.0,
161.0,2011-01-07,1.0,0.0,1.0,23.0,0.0,5.0,1.0,2.0,0.18,0.19699999999999998,0.51,0.1642,,14.0,15.0
162.0,2011-01-08,1.0,0.0,1.0,0.0,0.0,6.0,0.0,2.0,0.18,0.19699999999999998,0.51,0.1642,1.0,24.0,25.0
163.0,2011-01-08,1.0,0.0,1.0,1.0,0.0,6.0,0.0,2.0,0.18,,0.55,,1.0,15.0,16.0
164.0,2011-01-08,1.0,0.0,1.0,2.0,0.0,,0.0,,0.18,0.2424,0.55,0.0,3.0,13.0,
165.0,,1.0,0.0,1.0,,0.0,6.0,0.0,3.0,0.18,0.19699999999999998,0.55,0.1642,0.0,7.0,7.0
166.0,2011-01-08,1.0,0.0,1.0,4.0,0.0,6.0,0.0,,0.18,0.19699999999999998,0.55,0.1642,0.0,1.0,1.0
167.0,2011-01-08,,0.0,1.0,5.0,0.0,6.0,0.0,,0.16,0.1667,,0.1642,0.0,5.0,5.0
168.0,2011-01-08,,0.0,1.0,6.0,0.0,6.0,0.0,2.0,0.16,0.1667,0.74,0.1642,0.0,2.0,2.0
169.0,2011-01-08,1.0,0.0,1.0,7.0,0.0,6.0,0.0,2.0,0.16,0.1818,0.74,0.1045,1.0,8.0,9.0
170.0,2011-01-08,1.0,0.0,,8.0,0.0,6.0,0.0,,0.16,0.1818,0.93,0.1045,0.0,15.0,15.0
171.0,,1.0,,1.0,9.0,0.0,6.0,0.0,,0.16,0.1818,0.93,0.1045,0.0,20.0,20.0
,2011-01-08,1.0,0.0,1.0,10.0,0.0,6.0,0.0,2.0,0.18,0.19699999999999998,,,,,61.0
173.0,2011-01-08,1.0,0.0,1.0,11.0,0.0,,0.0,2.0,,0.1818,0.69,0.3881,2.0,60.0,62.0
174.0,2011-01-08,1.0,0.0,1.0,12.0,0.0,6.0,,2.0,0.2,0.1818,0.59,0.3582,8.0,90.0,98.0
175.0,2011-01-08,1.0,0.0,1.0,13.0,0.0,,,1.0,0.2,0.1818,0.44,0.3284,7.0,95.0,102.0
176.0,2011-01-08,1.0,0.0,1.0,14.0,0.0,6.0,,1.0,,,0.32,0.4925,12.0,83.0,95.0
177.0,2011-01-08,,0.0,1.0,,0.0,6.0,0.0,1.0,0.2,0.1667,0.32,0.4478,5.0,69.0,74.0
178.0,2011-01-08,1.0,0.0,1.0,16.0,0.0,6.0,0.0,1.0,0.18,0.1364,,0.4478,,,76.0
179.0,2011-01-08,1.0,0.0,1.0,17.0,0.0,6.0,0.0,,0.16,0.1212,0.37,0.5522,5.0,64.0,69.0
180.0,2011-01-08,1.0,0.0,1.0,,0.0,6.0,,1.0,0.14,0.1212,0.39,0.2985,3.0,52.0,55.0
181.0,,1.0,0.0,,19.0,,6.0,0.0,1.0,0.14,0.1212,,0.2537,4.0,26.0,
182.0,2011-01-08,1.0,0.0,1.0,20.0,0.0,6.0,,1.0,0.12,0.1212,0.36,0.2537,0.0,28.0,28.0
183.0,2011-01-08,1.0,0.0,1.0,21.0,0.0,6.0,0.0,1.0,0.12,0.1061,0.39,0.3582,2.0,35.0,37.0
184.0,,1.0,0.0,1.0,22.0,0.0,6.0,0.0,1.0,0.12,0.1061,0.36,0.3881,1.0,33.0,
,2011-01-08,1.0,0.0,1.0,23.0,0.0,,0.0,,0.1,0.0606,0.39,0.4478,0.0,22.0,22.0
186.0,2011-01-09,1.0,0.0,1.0,0.0,0.0,0.0,,1.0,,0.0758,0.42,0.3881,,,25.0
187.0,2011-01-09,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.1,0.0606,0.42,0.4627,0.0,12.0,12.0
188.0,2011-01-09,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.1,,0.46,,0.0,,
189.0,2011-01-09,1.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.1,,,0.4179,0.0,4.0,4.0
190.0,2011-01-09,1.0,,1.0,,0.0,0.0,0.0,1.0,0.08,0.0909,0.53,0.19399999999999998,0.0,1.0,1.0
191.0,2011-01-09,1.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,0.08,0.0909,0.53,0.19399999999999998,0.0,1.0,1.0
192.0,2011-01-09,1.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.1,,0.49,0.2836,,1.0,1.0
193.0,2011-01-09,1.0,0.0,1.0,7.0,0.0,0.0,0.0,1.0,0.08,0.0909,0.53,0.19399999999999998,1.0,5.0,6.0
194.0,2011-01-09,1.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.1,0.0909,0.49,0.2836,0.0,,10.0
195.0,2011-01-09,1.0,,1.0,,0.0,0.0,0.0,1.0,0.12,0.0758,0.46,0.5224,0.0,19.0,19.0
196.0,2011-01-09,1.0,0.0,1.0,10.0,0.0,0.0,0.0,1.0,,0.1061,0.43,0.3881,0.0,,49.0
197.0,2011-01-09,1.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.16,0.1212,0.4,0.5224,,47.0,49.0
198.0,2011-01-09,1.0,0.0,1.0,12.0,,0.0,0.0,1.0,0.18,0.1364,0.37,0.4478,4.0,79.0,83.0
199.0,2011-01-09,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.2,0.1667,,0.4478,6.0,69.0,75.0
200.0,,1.0,0.0,1.0,14.0,0.0,0.0,0.0,1.0,0.22,0.1818,0.32,0.4627,8.0,64.0,72.0
201.0,2011-01-09,1.0,0.0,1.0,15.0,0.0,,0.0,1.0,0.22,0.19699999999999998,0.35,0.3582,5.0,77.0,82.0
202.0,2011-01-09,,0.0,1.0,16.0,,0.0,0.0,1.0,0.2,0.1667,,0.4478,13.0,79.0,
203.0,,1.0,,1.0,,0.0,0.0,0.0,1.0,,0.1515,0.37,0.3881,3.0,59.0,62.0
